Phase,FileName,CC,MSE,SSIM
phase1-1,phase1_input0051-modality0-WarpedToTemplate.nii.gz,0.9516047449650649,0.033599967271401694,0.8087279018487544
phase1-1,phase1_input0007-modality0-WarpedToTemplate.nii.gz,0.9596784414918784,0.01345830145130504,0.8763539632019561
phase1-1,phase1_input0065-modality0-WarpedToTemplate.nii.gz,0.9612141742080758,0.022998283034026904,0.8459632725883011
phase1-1,phase1_input0016-modality0-WarpedToTemplate.nii.gz,0.9495409943074948,0.017755422669363273,0.8517310948969654
phase1-1,phase1_input0074-modality0-WarpedToTemplate.nii.gz,0.9569086843763054,0.01640283047311106,0.8617471936307023
phase1-1,phase1_input0014-modality0-WarpedToTemplate.nii.gz,0.9522960835300628,0.008608572696844154,0.8809423744224467
phase1-1,phase1_input0076-modality0-WarpedToTemplate.nii.gz,0.9596472630638674,0.01751711295404246,0.8633234768720195
phase1-1,phase1_input0005-modality0-WarpedToTemplate.nii.gz,0.952188064405525,0.032100655102847354,0.8126304023638502
phase1-1,phase1_input0067-modality0-WarpedToTemplate.nii.gz,0.9593306946279819,0.024368820902055437,0.8362709547378462
phase1-1,phase1_input0031-modality0-WarpedToTemplate.nii.gz,0.9569780267106683,0.024621492061537707,0.8386648742943854
phase1-1,phase1_input0053-modality0-WarpedToTemplate.nii.gz,0.9497715963510802,0.01817347697625071,0.8571698419166873
phase1-1,phase1_input0081-modality0-WarpedToTemplate.nii.gz,0.9622114245716897,0.021894254210732243,0.8537302848698786
phase1-1,phase1_input0020-modality0-WarpedToTemplate.nii.gz,0.9563560781550596,0.02445799247897942,0.8372673811667574
phase1-1,phase1_input0042-modality0-WarpedToTemplate.nii.gz,0.960553004016398,0.02585514492152844,0.8388509597997117
phase1-1,phase1_input0019-modality0-WarpedToTemplate.nii.gz,0.9482805133372755,0.010287553849808001,0.8701358781135151
phase1-1,phase1_input0008-modality0-WarpedToTemplate.nii.gz,0.9661956353879336,0.017089304121384638,0.8639372811761524
phase1-1,phase1_input0078-modality0-WarpedToTemplate.nii.gz,0.9544937022606259,0.025179981638671706,0.833885804472009
phase1-1,phase1_input0069-modality0-WarpedToTemplate.nii.gz,0.9578711549225809,0.024181733793315258,0.8376728180521088
phase1-1,phase1_input0032-modality0-WarpedToTemplate.nii.gz,0.954509970819146,0.01742647682902653,0.857281203344107
phase1-1,phase1_input0050-modality0-WarpedToTemplate.nii.gz,0.9473239850984649,0.029142765546813297,0.8239182945373877
phase1-1,phase1_input0023-modality0-WarpedToTemplate.nii.gz,0.9491946937528124,0.026587970121237738,0.8275620394591946
phase1-1,phase1_input0082-modality0-WarpedToTemplate.nii.gz,0.9514406496782317,0.02541561996209879,0.8301758119817341
phase1-1,phase1_input0041-modality0-WarpedToTemplate.nii.gz,0.9509553955678894,0.01936105732385682,0.8488558532390327
phase1-1,phase1_input0017-modality0-WarpedToTemplate.nii.gz,0.9582690138376386,0.022604744568846046,0.8384685287907483
phase1-1,phase1_input0075-modality0-WarpedToTemplate.nii.gz,0.9504462629382157,0.016663850603336843,0.8568127238904312
phase1-1,phase1_input0006-modality0-WarpedToTemplate.nii.gz,0.9551970365689351,0.01964679851655494,0.8533850591052088
phase1-1,phase1_input0064-modality0-WarpedToTemplate.nii.gz,0.9562985010064732,0.017108037260119096,0.8656721271156257
phase1-1,phase1_input0004-modality0-WarpedToTemplate.nii.gz,0.9628355606065321,0.011504048135629918,0.8801826366115973
phase1-1,phase1_input0066-modality0-WarpedToTemplate.nii.gz,0.9586166461171515,0.016895039127906863,0.8576176964972333
phase1-1,phase1_input0015-modality0-WarpedToTemplate.nii.gz,0.9568178952950173,0.03295724408631518,0.8096208805831225
phase1-1,phase1_input0077-modality0-WarpedToTemplate.nii.gz,0.9587642899332635,0.02892279253917117,0.8242471534403969
phase1-1,phase1_input0080-modality0-WarpedToTemplate.nii.gz,0.9595917775842094,0.02034588137448569,0.8486336424445847
phase1-1,phase1_input0021-modality0-WarpedToTemplate.nii.gz,0.9437985880931692,0.020552155781019047,0.8358593148434669
phase1-1,phase1_input0043-modality0-WarpedToTemplate.nii.gz,0.9526022708396963,0.017679267841101833,0.8567913687300976
phase1-1,phase1_input0030-modality0-WarpedToTemplate.nii.gz,0.9573068996551491,0.017038675245620298,0.8601461930564546
phase1-1,phase1_input0052-modality0-WarpedToTemplate.nii.gz,0.96138790640078,0.015027701453844527,0.8735795182347621
phase1-1,phase1_input0009-modality0-WarpedToTemplate.nii.gz,0.9555946564748673,0.024308780149465976,0.8428151459255558
phase1-1,phase1_input0018-modality0-WarpedToTemplate.nii.gz,0.9599170537370042,0.018297769065777285,0.8610032202734754
